IID	GB	KE	Family	Name_number
HG03476	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03478	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03479	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03484	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03485	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03488	PJL_Pakistan	PJL_Pakistan		
HG03490	PJL_Pakistan	PJL_Pakistan		
HG03491	PJL_Pakistan	PJL_Pakistan		
HG03499	ESN_Nigeria	ESN_Nigeria		
HG03511	ESN_Nigeria	ESN_Nigeria		
HG03514	ESN_Nigeria	ESN_Nigeria		
HG03515	ESN_Nigeria	ESN_Nigeria		
HG03517	ESN_Nigeria	ESN_Nigeria		
HG03518	ESN_Nigeria	ESN_Nigeria		
HG03520	ESN_Nigeria	ESN_Nigeria		
HG03521	ESN_Nigeria	ESN_Nigeria		
HG03538	GWD_Gambia	GWD_Gambia		
HG03539	GWD_Gambia	GWD_Gambia		
HG03547	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03548	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03556	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03557	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03558	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03559	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03563	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03565	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03567	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03571	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03572	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03575	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03577	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03578	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03583	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03585	BEB_Bengal	BEB_Bengal		
HG03589	BEB_Bengal	BEB_Bengal		
HG03593	BEB_Bengal	BEB_Bengal		
HG03594	BEB_Bengal	BEB_Bengal		
HG03595	BEB_Bengal	BEB_Bengal		
HG03598	BEB_Bengal	BEB_Bengal		
HG03600	BEB_Bengal	BEB_Bengal		
HG03603	BEB_Bengal	BEB_Bengal		
HG03604	BEB_Bengal	BEB_Bengal		
HG03607	BEB_Bengal	BEB_Bengal		
HG03611	BEB_Bengal	BEB_Bengal		
HG03615	BEB_Bengal	BEB_Bengal		
HG03616	BEB_Bengal	BEB_Bengal		
HG03619	PJL_Pakistan	PJL_Pakistan		
HG03624	PJL_Pakistan	PJL_Pakistan		
HG03625	PJL_Pakistan	PJL_Pakistan		
HG03629	PJL_Pakistan	PJL_Pakistan		
HG03631	PJL_Pakistan	PJL_Pakistan		
HG03634	PJL_Pakistan	PJL_Pakistan		
HG03636	PJL_Pakistan	PJL_Pakistan		
HG03640	PJL_Pakistan	PJL_Pakistan		
HG03642	STU_Sri_Lanka	STU_Sri_Lanka		
HG03643	STU_Sri_Lanka	STU_Sri_Lanka		
HG03644	STU_Sri_Lanka	STU_Sri_Lanka		
HG03645	STU_Sri_Lanka	STU_Sri_Lanka		
HG03646	STU_Sri_Lanka	STU_Sri_Lanka		
HG03649	PJL_Pakistan	PJL_Pakistan		
HG03652	PJL_Pakistan	PJL_Pakistan		
